window,train_time_s,test_mse,test_mae
5,11.61,334.1715917973168,13.574373289293483
10,7.82,337.7697341547515,13.520953681771443
20,11.15,342.514943924487,13.535532714548003
100,29.75,362.047099044697,13.899257158837282
